City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches,Snow Inches
71,Arraial Do Cabo,BR,-22.97,-42.03,84.2,51,86,8.05,overcast clouds,0.0,0
72,Punta Arenas,CL,-53.15,-70.92,37.4,81,40,21.92,scattered clouds,0.0,0
73,Cape Town,ZA,-33.93,18.42,57.99,71,75,27.51,broken clouds,0.0,0
74,Kodiak,US,57.79,-152.41,55.4,71,90,10.29,overcast clouds,0.0,0
75,Atar,MR,20.52,-13.05,97.38,28,13,4.92,few clouds,0.0,0
76,Dayong,CN,25.02,118.29,82.4,88,99,4.47,overcast clouds,0.0,0
77,Stanari,BA,44.75,17.83,62.6,63,2,2.24,clear sky,0.0,0
78,Mayo,US,38.89,-76.51,87.01,54,40,9.17,scattered clouds,0.0,0
79,Bluff,NZ,-46.6,168.33,39.0,83,75,3.0,broken clouds,0.0,0
80,Tiksi,RU,71.69,128.87,58.42,87,100,4.74,overcast clouds,0.0,0
81,Upernavik,GL,72.79,-56.15,42.24,83,99,9.75,overcast clouds,0.0,0
82,Ustye,RU,59.63,39.74,53.17,95,77,2.75,broken clouds,0.0,0
83,Fougamou,GA,-1.22,10.58,72.43,92,66,3.44,broken clouds,0.0,0
84,Dryden,CA,49.78,-92.75,73.4,53,20,4.7,few clouds,0.0,0
85,Hirara,JP,24.8,125.28,84.43,80,20,9.66,few clouds,0.0,0
86,Cabo San Lucas,MX,22.89,-109.91,93.2,46,40,11.41,scattered clouds,0.0,0
87,Arauca,CO,7.08,-70.76,86.0,66,40,3.13,scattered clouds,0.0,0
88,Rocha,UY,-34.48,-54.33,43.86,62,51,7.78,broken clouds,0.0,0
89,Barrow,US,71.29,-156.79,37.4,86,90,6.93,overcast clouds,0.0,0
90,Arlit,NE,18.74,7.39,98.2,13,0,3.0,clear sky,0.0,0
91,Gravdal,NO,68.12,13.5,53.6,76,20,5.82,few clouds,0.0,0
92,Gat,IL,31.61,34.76,78.01,70,1,1.01,clear sky,0.0,0
93,Vitorino Freire,BR,-4.07,-45.17,78.64,69,21,1.72,few clouds,0.0,0
94,Torbay,CA,47.67,-52.73,64.0,77,75,14.99,broken clouds,0.0,0
95,East London,ZA,-33.02,27.91,60.12,55,0,19.22,clear sky,0.0,0
96,Porterville,US,36.07,-119.02,98.6,13,0,8.05,clear sky,0.0,0
97,Karbinci,MK,41.82,22.24,68.0,60,75,18.34,broken clouds,0.0,0
98,Pio Xii,BR,-3.83,-45.15,78.58,72,7,0.74,clear sky,0.0,0
99,Katsuura,JP,35.13,140.3,68.0,88,75,8.05,light intensity shower rain,0.0,0
100,Middle Island,US,40.88,-72.94,86.0,51,20,16.11,few clouds,0.0,0
101,Daru,PG,-9.08,143.21,77.07,89,99,16.08,moderate rain,1.56,0
102,Narsaq,GL,60.92,-46.05,59.0,58,100,6.93,overcast clouds,0.0,0
103,Pangody,RU,65.85,74.49,55.04,86,100,1.5,light rain,0.62,0
104,Nunkini,MX,20.33,-90.18,89.6,62,40,11.41,scattered clouds,0.0,0
105,Kawambwa,ZM,-9.79,29.08,64.81,46,5,7.83,clear sky,0.0,0
106,Qaqortoq,GL,60.72,-46.03,59.0,58,100,6.93,overcast clouds,0.0,0
107,Mahebourg,MU,-20.41,57.7,71.6,73,20,14.99,few clouds,0.0,0
108,Codrington,AU,-38.27,141.97,43.77,90,0,3.49,clear sky,0.0,0
109,Urdoma,RU,61.75,48.54,55.58,80,28,5.21,scattered clouds,0.0,0
110,Port Hardy,CA,50.7,-127.42,55.4,93,75,6.93,broken clouds,0.0,0
111,Mataura,NZ,-46.19,168.86,39.0,83,90,3.0,overcast clouds,0.0,0
112,Castro,BR,-24.79,-50.01,66.33,69,5,9.55,clear sky,0.0,0
113,Khatanga,RU,71.97,102.5,53.92,83,100,14.47,overcast clouds,0.0,0
114,Ponta Do Sol,PT,32.67,-17.1,72.0,74,0,5.66,clear sky,0.0,0
115,Moron,AR,-34.65,-58.62,55.99,27,89,4.0,overcast clouds,0.0,0
116,Pacific Grove,US,36.62,-121.92,80.01,68,1,8.05,clear sky,0.0,0
117,Muros,ES,42.78,-9.06,73.99,64,0,13.0,clear sky,0.0,0
118,Gurupi,BR,-11.73,-49.07,82.2,34,86,4.7,overcast clouds,0.0,0
119,Hermanus,ZA,-34.42,19.23,55.0,70,0,15.99,clear sky,0.0,0
120,Horqueta,PY,-23.34,-57.06,78.55,59,3,1.99,clear sky,0.0,0
121,Lagoa,PT,39.05,-27.98,68.95,79,0,16.42,clear sky,0.0,0
122,Hoima,UG,1.44,31.34,64.71,92,9,0.83,light rain,0.65,0
123,Bandarbeyla,SO,9.49,50.81,82.65,66,77,32.14,broken clouds,0.0,0
124,Haines Junction,CA,60.75,-137.51,61.48,45,96,8.32,overcast clouds,0.0,0
125,Ajdabiya,LY,30.76,20.23,74.88,78,0,15.08,clear sky,0.0,0
126,Severo-Kurilsk,RU,50.68,156.12,49.8,92,100,8.77,overcast clouds,0.0,0
127,Saint George,US,37.1,-113.58,108.0,12,1,4.7,clear sky,0.0,0
128,Hofn,IS,64.25,-15.21,52.03,94,100,5.12,moderate rain,1.4,0
129,Mana,GF,5.66,-53.78,81.21,79,36,9.84,scattered clouds,0.0,0
130,Kichmengskiy Gorodok,RU,59.98,45.79,56.07,82,29,0.51,scattered clouds,0.0,0
131,Korla,CN,41.76,86.15,78.01,61,19,7.0,few clouds,0.0,0
132,Dingle,PH,11.0,122.67,76.42,91,78,3.31,light rain,0.13,0
133,Biak,ID,-0.91,122.88,76.05,84,33,6.93,scattered clouds,0.0,0
134,Victoria,HK,22.29,114.16,84.0,79,17,4.0,few clouds,0.0,0
135,Ribeira Grande,PT,38.52,-28.7,73.4,73,20,14.99,few clouds,0.0,0
136,Ulladulla,AU,-35.35,150.47,48.2,100,90,6.93,overcast clouds,0.0,0
137,Dongsheng,CN,39.82,109.98,57.24,96,3,0.43,clear sky,0.0,0
138,Chubbuck,US,42.92,-112.47,84.99,23,1,17.22,clear sky,0.0,0
139,Gizo,SB,-8.1,156.84,82.8,78,90,13.29,moderate rain,2.32,0
140,Husavik,IS,66.04,-17.34,55.4,82,90,6.93,light rain,0.0,0
141,Ribas Do Rio Pardo,BR,-20.44,-53.76,87.26,34,7,9.44,clear sky,0.0,0
142,Livramento,BR,-3.03,-60.18,91.4,52,40,8.05,scattered clouds,0.0,0
143,Olafsvik,IS,64.89,-23.71,51.57,81,65,4.85,broken clouds,0.0,0
144,Sri Aman,MY,1.24,111.46,75.2,100,100,1.12,overcast clouds,0.0,0
145,Novyy Urengoy,RU,66.08,76.63,60.17,62,100,8.28,overcast clouds,0.0,0
146,Mount Gambier,AU,-37.83,140.77,37.4,100,90,2.24,overcast clouds,0.0,0
147,Tuktoyaktuk,CA,69.45,-133.04,57.2,67,40,9.17,scattered clouds,0.0,0
148,Tera,NE,14.01,0.75,90.66,43,13,14.12,few clouds,0.0,0
149,Westport,US,41.14,-73.36,89.01,48,1,13.87,clear sky,0.0,0
150,Thayetmyo,MM,19.32,95.18,77.05,90,92,4.94,overcast clouds,0.0,0
151,Charters Towers,AU,-20.1,146.27,54.61,41,56,12.53,broken clouds,0.0,0
152,Carnarvon,AU,-24.87,113.63,57.2,93,28,8.05,scattered clouds,0.0,0
153,Raudeberg,NO,61.99,5.14,53.6,71,75,7.58,broken clouds,0.0,0
154,Yulin,CN,22.63,110.15,77.41,93,69,5.39,broken clouds,0.0,0
155,Atambua,ID,-9.11,124.89,69.42,85,100,5.84,overcast clouds,0.0,0
156,Seoul,KR,37.57,126.98,66.2,93,90,3.36,moderate rain,2.03,0
157,Karratha,AU,-20.74,116.85,60.12,32,32,13.76,scattered clouds,0.0,0
158,Hamilton,US,39.18,-84.53,84.99,54,40,6.93,scattered clouds,0.0,0
159,Lethem,GY,3.38,-59.8,84.63,73,65,7.02,moderate rain,1.1,0
160,Cockburn Town,TC,21.46,-71.14,86.0,66,40,11.41,scattered clouds,0.0,0
161,Chicama,PE,-7.84,-79.15,69.96,64,13,9.22,few clouds,0.0,0
162,Thompson,CA,55.74,-97.86,71.6,56,75,6.93,broken clouds,0.0,0
163,Mkushi,ZM,-13.62,29.39,64.08,49,47,9.64,scattered clouds,0.0,0
164,Krasnokamensk,RU,50.1,118.04,62.26,82,100,1.99,overcast clouds,0.0,0
165,Nouna,BF,12.73,-3.87,88.77,47,29,5.79,scattered clouds,0.0,0
166,Parrita,CR,9.52,-84.32,77.0,69,75,4.7,broken clouds,0.0,0
167,Senanga,ZM,-16.12,23.27,56.1,36,0,5.93,clear sky,0.0,0
168,Egvekinot,RU,66.32,-179.17,55.29,49,93,4.07,overcast clouds,0.0,0
169,Ndele,CF,8.41,20.65,71.98,93,99,2.86,light rain,0.26,0
170,Port Lincoln,AU,-34.73,135.87,51.94,81,0,2.13,clear sky,0.0,0
171,Ust-Omchug,RU,61.15,149.63,66.58,44,39,2.24,scattered clouds,0.0,0
172,Cortez,US,37.35,-108.59,98.6,12,1,11.41,clear sky,0.0,0
173,Qasigiannguit,GL,68.82,-51.19,48.2,70,58,5.82,broken clouds,0.0,0
174,Srandakan,ID,-7.94,110.25,72.82,88,100,3.27,overcast clouds,0.0,0
175,Bengkulu,ID,-3.8,102.27,74.55,90,37,3.71,scattered clouds,0.0,0
176,Embonas,GR,36.23,27.86,78.8,69,0,13.87,clear sky,0.0,0
